,url,text,stand,zuständig,geschäftsart,status
1038,/gast/geschaefte/253,Postulat von Silvan Hotz und Daniel Grunder betreffend Zusammensetzung des Bildungsrates,Datenmigration,,Postulat,abgeschlossen
1039,/gast/geschaefte/252,Interpellation von Moritz Schmid betreffend härtere Gesetze,Datenmigration,,Interpellation,abgeschlossen
1040,/gast/geschaefte/251,Interpellation von Georg Helfenstein und Silvan Hotz betreffend Asylwesen,Datenmigration,,Interpellation,abgeschlossen
1041,/gast/geschaefte/250,Motion von Anton Stöckli und Moritz Schmid betreffend Schutz von Kindern vor Pädophilen im Internet,Datenmigration,,Motion,abgeschlossen
1042,/gast/geschaefte/249,Genehmigung der Schlussabrechnung: Kantonsratsbeschluss betreffend Rahmenkredit zur Beschaffung von Landreserven,,Baudirektion,Kantonsratsbeschluss (referendumsfähig),abgeschlossen
1043,/gast/geschaefte/248,Kantonsratsbeschluss über die Auflösung des Konkordats betreffend die Schweizerische Hochschule für Landwirtschaft,Datenmigration,,Kantonsratsbeschluss (nicht referendumsfähig),abgeschlossen
1044,/gast/geschaefte/247,Interpellation von Moritz Schmid betreffend verdeckte Ermittlungen auf Internetkriminalität,Datenmigration,,Interpellation,abgeschlossen
1045,/gast/geschaefte/246,"Interpellation von Thomas Brändle und Thomas Lötscher betreffend Zwangsverheiratung von im Kanton Zug lebenden, muslimischen Frauen",Datenmigration,,Interpellation,abgeschlossen
1046,/gast/geschaefte/245,"Kantonale Erneuerungswahlen vom 3. Oktober 2010 für die Amtsdauer 2011 - 2014, Ersatzwahl in das Obergericht vom 3. Oktober 2010 für den Rest der Amtsdauer bis Ende 2012 (Feststellung der Gültigkeit)",Datenmigration,,Wahlen,abgeschlossen
1047,/gast/geschaefte/244,Änderung des Kantonsratsbeschlusses betreffend Rahmenkredit zur Förderung von Massnahmen für geringeren Energiebedarf,,Baudirektion,Verschiedenes,abgeschlossen
1048,/gast/geschaefte/243,Budget 2011 des Kantons Zug und Budget 2011 der Interkantonalen Strafanstalt Bostadel,Datenmigration,,Verschiedenes,abgeschlossen
1049,/gast/geschaefte/242,"Änderung des Gesetzes über die Organisation der Polizei (Polizei-Organisationsgesetz), Änderung des Kantonsratsbeschlusses betreffend Bewilligung von Personalstellen in den Jahren 2009 - 2011",Datenmigration,,Gesetz,abgeschlossen
1050,/gast/geschaefte/239,Kantonsratsbeschluss betreffend Genehmigung der Geschäftsordnung des Strafgerichts,Datenmigration,,Kantonsratsbeschluss (nicht referendumsfähig),abgeschlossen
1051,/gast/geschaefte/238,Kantonsratsbeschluss betreffend Genehmigung der Geschäftsordnung des Kantonsgerichts,Datenmigration,,Kantonsratsbeschluss (nicht referendumsfähig),abgeschlossen
1052,/gast/geschaefte/237,Kantonsratsbeschluss betreffend Genehmigung der Geschäftsordnung des Obergerichts,Datenmigration,,Kantonsratsbeschluss (nicht referendumsfähig),abgeschlossen
1053,/gast/geschaefte/236,Kantonsratsbeschluss betreffend Rahmenkredite Planung und Projektierung Bahnprojekte und Bahnbau,Genehmigung Schlussabrechnung pendent,Volkswirtschaftsdirektion,Kantonsratsbeschluss (referendumsfähig),hängig
1054,/gast/geschaefte/235,Finanzplan 2011 - 2014,Datenmigration,,Verschiedenes,abgeschlossen
1055,/gast/geschaefte/234,Änderung des Einführungsgesetzes zum Bundesgesetz über den Umweltschutz (EG USG),Datenmigration,,Gesetz,abgeschlossen
1056,/gast/geschaefte/233,Interpellation von Thiemo Hächler betreffend gängiger Praxis bei Unterschutzstellungen der Denkmalpflege,Datenmigration,,Interpellation,abgeschlossen
1057,/gast/geschaefte/232,Kantonsratsbeschluss betreffend Entwicklungshilfe nach der Erdbebenkatastrophe in Haiti vom Januar 2010,Datenmigration,,Kantonsratsbeschluss (nicht referendumsfähig),abgeschlossen
1058,/gast/geschaefte/231,Interpellation von Hanni Schriber-Neiger betreffend bessere Anbindung des Raumes Schwyz/Uri an Rotkreuz/Rontal (Ebikon),Datenmigration,,Interpellation,abgeschlossen
1059,/gast/geschaefte/230,Motion von Hanni Schriber-Neiger und Martin Stuber betreffend eine bessere Anbindung des Freiamtes an den Kanton Zug - durchgehende S-Bahn-Verbindung von und in Richtung Freiamt,Datenmigration,,Motion,abgeschlossen
1060,/gast/geschaefte/229,Interpellation von Thomas Lötscher betreffend weiteres Vorgehen bezüglich NFA,Datenmigration,,Interpellation,abgeschlossen
1061,/gast/geschaefte/228,"Interpellation der CVP-Fraktion betreffend so genannter ""Nahtstellendiskussion"" auf der Oberstufe (Übergang von Sek I in die Berufsbildung)",Datenmigration,,Interpellation,abgeschlossen
1062,/gast/geschaefte/227,"Interpellation von Stefan Gisler, Vroni Straub-Müller und Martin Stuber betreffend Integration des Velofahrens in den Lehrplan 21 Sport und Bewegung in der Schule: Klare Ziele fürs Velofahren",Datenmigration,,Interpellation,abgeschlossen
1063,/gast/geschaefte/226,Motion von Beat Sieber und Peter Diehm betreffend Einführung einer gemeindlichen Rechnungs- und Geschäftsprüfungskommission (RGPK),Datenmigration,,Motion,abgeschlossen
1064,/gast/geschaefte/225,Interpellation der CVP-Fraktion betreffend Eigenbetreuungsabzug in der Steuergesetzrevision 2012,Datenmigration,,Interpellation,abgeschlossen
